Problem,Encoding,Instance,Pre-processing,Result,Model,Time,Solving,1st Model,Unsat,CPU,Pre-proc Time(Nanos)
./Instances/Pigeon_Color,active_BK_enum,c3_p52_h54,OK,SATISFIABLE,1+,4.974,4.32,4.32,0,4.974,0
./Instances/Pigeon_Color,active_BK_full,c3_p52_h54,OK,SATISFIABLE,1+,0.628,0,0,0,0.628,0
./Instances/Pigeon_Color,active_BK_order,c3_p52_h54,OK,SATISFIABLE,1+,1.072,0.1,0.1,0,1.072,0
./Instances/Pigeon_Color,active_BK_sat,c3_p52_h54,OK,SATISFIABLE,1+,0.545,0,0,0,0.545,0
./Instances/Pigeon_Color,BASE,c3_p52_h54,OK,SATISFIABLE,1+,1.674,0.02,0.02,0,1.674,0
./Instances/Pigeon_Color,SBASS,c3_p52_h54,OK,UNKNOWN,0+,900,897.91,0,0,899.981,4.49E+11
./Instances/Pigeon_Color,active_BK_enum,c4_p12_h14,OK,UNSATISFIABLE,0,4.195,4.17,0,4.17,4.194,0
./Instances/Pigeon_Color,active_BK_full,c4_p12_h14,OK,UNSATISFIABLE,0,0.075,0.06,0,0.06,0.075,0
./Instances/Pigeon_Color,active_BK_order,c4_p12_h14,OK,UNSATISFIABLE,0,3.026,3,0,3,3.026,0
./Instances/Pigeon_Color,active_BK_sat,c4_p12_h14,OK,UNSATISFIABLE,0,0.022,0,0,0,0.022,0
./Instances/Pigeon_Color,BASE,c4_p12_h14,OK,UNKNOWN,0+,900,899.96,0,0,899.975,0
./Instances/Pigeon_Color,SBASS,c4_p12_h14,OK,UNKNOWN,0+,900,899.97,0,0,899.976,479035307
./Instances/Pigeon_Color,active_BK_enum,c4_p52_h55,OK,SATISFIABLE,1+,3.131,2.11,2.11,0,3.131,0
./Instances/Pigeon_Color,active_BK_full,c4_p52_h55,OK,SATISFIABLE,1+,3.849,2.91,2.91,0,3.849,0
./Instances/Pigeon_Color,active_BK_order,c4_p52_h55,OK,SATISFIABLE,1+,2.033,0.28,0.28,0,2.033,0
./Instances/Pigeon_Color,active_BK_sat,c4_p52_h55,OK,SATISFIABLE,1+,0.959,0,0,0,0.959,0
./Instances/Pigeon_Color,BASE,c4_p52_h55,OK,UNKNOWN,0+,900,896.6,0,0,899.982,0
./Instances/Pigeon_Color,SBASS,c4_p52_h55,OK,UNKNOWN,0+,900,896.58,0,0,899.967,5.50E+11
./Instances/Pigeon_Color,active_BK_enum,c5_p12_h15,OK,UNSATISFIABLE,0,5.673,5.64,0,5.64,5.673,0
./Instances/Pigeon_Color,active_BK_full,c5_p12_h15,OK,UNSATISFIABLE,0,0.251,0.22,0,0.22,0.251,0
