ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
1_Enumerate_Alternative_Full_1_DEFAULT_31681_2-doublev-12,0.17,0.01
9_Enumerate_Alternative_Full_3_DEFAULT_25434_2-doublev-12,0.17,0
115_Enumerate_Alternative_Full_1_DEFAULT_16699_2-doublev-15,0.18,0.13
25_Enumerate_Alternative_Full_1_DEFAULT_6709_2-doublev-21,0.18,0.04
12_Enumerate_Alternative_Full_3_DEFAULT_31928_Un-2-doublev-15,0.19,0.13
103_Enumerate_Alternative_Full_1_DEFAULT_31869_Un-2-doublev-9,0.19,0.01
49_Enumerate_Alternative_Full_1_DEFAULT_6652_Un-2-doublev-9,0.19,0.04
55_Enumerate_Alternative_Full_1_DEFAULT_2905_2-doublev-15,0.19,0.01
7_Enumerate_Alternative_Full_1_DEFAULT_3718_2-doublev-12,0.19,0.01
82_Enumerate_Alternative_Full_1_DEFAULT_26645_2-doublev-12,0.19,0.01
